case_id,query,job_version_id,proposed_grade,reviewed_grade,reviewer,note
official-01-1,AI Data Operations Manager,9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549,3,,,
official-01-2,"Day one, you will own a meaningful piece of Figure's data collection operation. You'll be hitting volume, quality, and velocity targets, building the systems that get us there, and partnering across engineering, product, and ops to make it happen. Specific responsibilities include:",9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549,3,,,
official-01-3,"4+ years in investment banking, management consulting, corporate development, growth, or startup operations roles, ideally with exposure to a frontier technology business",9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549,3,,,
official-01-4,Find roles focused on AI Data Operations Manager,9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549,3,,,
official-01-5,"岗位职责匹配：Day one, you will own a meaningful piece of Figure's data collection operation. You'll be hitting volume, quality, and velocity targets, building the systems that get us there, and partnering across engineering, product, and ops to make it happen. Specific responsibilities include:",9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549,3,,,
official-02-1,AI Training Infrastructure Engineer – Humanoid Whole Body Control,372b8d981e9a118724699820ec99464d3cef1b5afecb3504bd5984e0d20cf86e,3,,,
official-02-2,"Own and scale the infrastructure used to train whole-body control policies (simulation, data pipelines, orchestration, visualizations)",372b8d981e9a118724699820ec99464d3cef1b5afecb3504bd5984e0d20cf86e,3,,,
official-02-3,Strong software engineering fundamentals with production experience in Python and PyTorch,372b8d981e9a118724699820ec99464d3cef1b5afecb3504bd5984e0d20cf86e,3,,,
official-02-4,Find roles focused on AI Training Infrastructure Engineer – Humanoid Whole Body Control,372b8d981e9a118724699820ec99464d3cef1b5afecb3504bd5984e0d20cf86e,3,,,
official-02-5,"岗位职责匹配：Own and scale the infrastructure used to train whole-body control policies (simulation, data pipelines, orchestration, visualizations)",372b8d981e9a118724699820ec99464d3cef1b5afecb3504bd5984e0d20cf86e,3,,,
official-03-1,Data Strategy Associate,b73b922f4af1b2a2e4a3167943581b60aef9cf2340f022877c17699262b879eb,3,,,
official-03-2,"Own end-to-end execution of running robot data collection in diverse residential homes (e.g., deployments—scheduling dates, managing bookings, and ensuring sites are ready for data collection)",b73b922f4af1b2a2e4a3167943581b60aef9cf2340f022877c17699262b879eb,3,,,
official-03-3,"3-5 years in program management (especially for operations), consulting, investment banking, startup project management, or similar roles",b73b922f4af1b2a2e4a3167943581b60aef9cf2340f022877c17699262b879eb,3,,,
official-03-4,Find roles focused on Data Strategy Associate,b73b922f4af1b2a2e4a3167943581b60aef9cf2340f022877c17699262b879eb,3,,,
official-03-5,"岗位职责匹配：Own end-to-end execution of running robot data collection in diverse residential homes (e.g., deployments—scheduling dates, managing bookings, and ensuring sites are ready for data collection)",b73b922f4af1b2a2e4a3167943581b60aef9cf2340f022877c17699262b879eb,3,,,
official-04-1,Deployment Engineer (Data Collection),e06e31c66b7ffa4e84f45cff09e46a9f58c4828c0a53239e6022a8011e6731c7,3,,,
official-04-2,"Support engineering with deployment, serving as an on-site representative to reach development goals",e06e31c66b7ffa4e84f45cff09e46a9f58c4828c0a53239e6022a8011e6731c7,3,,,
official-04-3,"3-5+ years of work experience in automotive or industrial automation/robotics integration, deployment, and development",e06e31c66b7ffa4e84f45cff09e46a9f58c4828c0a53239e6022a8011e6731c7,3,,,
official-04-4,Find roles focused on Deployment Engineer (Data Collection),e06e31c66b7ffa4e84f45cff09e46a9f58c4828c0a53239e6022a8011e6731c7,3,,,
official-04-5,"岗位职责匹配：Support engineering with deployment, serving as an on-site representative to reach development goals",e06e31c66b7ffa4e84f45cff09e46a9f58c4828c0a53239e6022a8011e6731c7,3,,,
official-05-1,"Helix AI Engineer, Data Infrastructure ",0a59a8a5defd9d4d8667a85f36f511c6a9d787070af1f561d8de7060399ebb0c,3,,,
official-05-2,"Design, build, and maintain tools and software components that offload, store, manipulate and provide access to robot data",0a59a8a5defd9d4d8667a85f36f511c6a9d787070af1f561d8de7060399ebb0c,3,,,
official-05-3,Strong software engineering fundamentals,0a59a8a5defd9d4d8667a85f36f511c6a9d787070af1f561d8de7060399ebb0c,3,,,
official-05-4,"Find roles focused on Helix AI Engineer, Data Infrastructure ",0a59a8a5defd9d4d8667a85f36f511c6a9d787070af1f561d8de7060399ebb0c,3,,,
official-05-5,"岗位职责匹配：Design, build, and maintain tools and software components that offload, store, manipulate and provide access to robot data",0a59a8a5defd9d4d8667a85f36f511c6a9d787070af1f561d8de7060399ebb0c,3,,,
official-06-1,"Helix AI Engineer, Generative AI",79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958,3,,,
official-06-2,"Design, train, and deploy large-scale generative models, with a focus on diffusion-based approaches for vision, video, and multimodal data",79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958,3,,,
official-06-3,"Experience training and deploying generative models (diffusion, autoregressive, or related approaches) at scale",79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958,3,,,
official-06-4,"Find roles focused on Helix AI Engineer, Generative AI",79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958,3,,,
official-06-5,"岗位职责匹配：Design, train, and deploy large-scale generative models, with a focus on diffusion-based approaches for vision, video, and multimodal data",79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958,3,,,
official-07-1,"Helix AI Engineer, Localization and Mapping",b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46,3,,,
official-07-2,"Architect and implement real-time localization, ego-motion tracking, and state estimation systems by fusing multi-modal sensor data (cameras, IMUs, encoders, magnetic sensors).",b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46,3,,,
official-07-3,Deep technical expertise in solving complex estimation and nonlinear optimization problems.,b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46,3,,,
official-07-4,"Find roles focused on Helix AI Engineer, Localization and Mapping",b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46,3,,,
official-07-5,"岗位职责匹配：Architect and implement real-time localization, ego-motion tracking, and state estimation systems by fusing multi-modal sensor data (cameras, IMUs, encoders, magnetic sensors).",b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46,3,,,
official-08-1,"Helix AI Engineer, Modeling",0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc,3,,,
official-08-2,"Design and develop model architectures for perception, reasoning, and action across multimodal inputs (e.g., vision, language, proprioception)",0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc,3,,,
official-08-3,"Experience designing and training deep learning models for vision, language, or multimodal systems",0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc,3,,,
official-08-4,"Find roles focused on Helix AI Engineer, Modeling",0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc,3,,,
official-08-5,"岗位职责匹配：Design and develop model architectures for perception, reasoning, and action across multimodal inputs (e.g., vision, language, proprioception)",0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc,3,,,
official-09-1,"Helix AI Engineer, Perception",3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe,3,,,
official-09-2,"Develop perception systems including onboard computer vision, localization, visuomotor policies, and offline data annotation.",3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe,3,,,
official-09-3,Extensive experience in production-level software and ML engineering best practices.,3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe,3,,,
official-09-4,"Find roles focused on Helix AI Engineer, Perception",3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe,3,,,
official-09-5,"岗位职责匹配：Develop perception systems including onboard computer vision, localization, visuomotor policies, and offline data annotation.",3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe,3,,,
official-10-1,"Helix AI Engineer, Pretraining",ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448,3,,,
official-10-2,"Design and train large-scale foundation models across multimodal data (e.g., text, vision, and robot data)",ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448,3,,,
official-10-3,Experience training large-scale foundation models or working on pretraining for LLMs or multimodal systems,ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448,3,,,
official-10-4,"Find roles focused on Helix AI Engineer, Pretraining",ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448,3,,,
official-10-5,"岗位职责匹配：Design and train large-scale foundation models across multimodal data (e.g., text, vision, and robot data)",ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448,3,,,
official-11-1,"Helix AI Engineer, Reinforcement Learning",c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527,3,,,
official-11-2,Design and implement reinforcement learning algorithms for embodied agents operating in real-world and simulated environments,c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527,3,,,
official-11-3,Experience developing and applying reinforcement learning algorithms in complex environments,c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527,3,,,
