case_id,query,job_version_id,proposed_grade,reviewed_grade,reviewer,note,job_title,job_cities,review_status,in_four_run_union
official-01-1,AI Data Operations Manager,9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549,3,3,Codex (AI review; not human),"负责采集量、质量、吞吐、贡献者增长和地区运营。全文依据：Day one, you will own a meaningful piece of Figure's data collection operation. You'll be hitting volume, quality, and velocity targets, building the systems that get us there, and partnering across engineering, product, and ops to make it happen. Specific responsibilities include:。城市/招聘类型/排除条件未指定，按无该项限制评估；保留 max_age_days=90，全部冻结岗位满足；无候选人履历，不推断个人资格。",AI Data Operations Manager,United Arab Emirates,ai-adjudicated,true
official-01-1,AI Data Operations Manager,372b8d981e9a118724699820ec99464d3cef1b5afecb3504bd5984e0d20cf86e,,0,Codex (AI review; not human),"该岗位主责为“全身控制策略的训练、仿真与部署基础设施”，与本查询“AI 数据采集运营管理”无明确职责重合；公司 AI/机器人背景或通用技能不计相关。全文依据：Own and scale the infrastructure used to train whole-body control policies (simulation, data pipelines, orchestration, visualizations)。城市/招聘类型/排除条件未指定，按无该项限制评估；保留 max_age_days=90，全部冻结岗位满足；无候选人履历，不推断个人资格。",AI Training Infrastructure Engineer – Humanoid Whole Body Control,"San Jose, CA",ai-adjudicated,true
official-01-1,AI Data Operations Manager,b73b922f4af1b2a2e4a3167943581b60aef9cf2340f022877c17699262b879eb,,2,Codex (AI review; not human),"负责住宅采集项目排期、预算和执行，范围偏项目协调。全文依据：Own end-to-end execution of running robot data collection in diverse residential homes (e.g., deployments—scheduling dates, managing bookings, and ensuring sites are ready for data collection)。城市/招聘类型/排除条件未指定，按无该项限制评估；保留 max_age_days=90，全部冻结岗位满足；无候选人履历，不推断个人资格。",Data Strategy Associate,"San Jose, CA",ai-adjudicated,true
official-01-1,AI Data Operations Manager,e06e31c66b7ffa4e84f45cff09e46a9f58c4828c0a53239e6022a8011e6731c7,,0,Codex (AI review; not human),"该岗位主责为“机器人数据采集现场的工程部署与排障”，与本查询“AI 数据采集运营管理”无明确职责重合；公司 AI/机器人背景或通用技能不计相关。全文依据：Support engineering with deployment, serving as an on-site representative to reach development goals。城市/招聘类型/排除条件未指定，按无该项限制评估；保留 max_age_days=90，全部冻结岗位满足；无候选人履历，不推断个人资格。",Deployment Engineer (Data Collection),"San Jose, CA",ai-adjudicated,true
official-01-1,AI Data Operations Manager,0a59a8a5defd9d4d8667a85f36f511c6a9d787070af1f561d8de7060399ebb0c,,0,Codex (AI review; not human),"该岗位主责为“机器人数据传输、存储、处理和访问基础设施”，与本查询“AI 数据采集运营管理”无明确职责重合；公司 AI/机器人背景或通用技能不计相关。全文依据：Design, build, and maintain tools and software components that offload, store, manipulate and provide access to robot data。城市/招聘类型/排除条件未指定，按无该项限制评估；保留 max_age_days=90，全部冻结岗位满足；无候选人履历，不推断个人资格。","Helix AI Engineer, Data Infrastructure","San Jose, CA",ai-adjudicated,true
official-01-1,AI Data Operations Manager,79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958,,0,Codex (AI review; not human),"该岗位主责为“视觉、视频及多模态生成模型的设计训练和部署”，与本查询“AI 数据采集运营管理”无明确职责重合；公司 AI/机器人背景或通用技能不计相关。全文依据：Design, train, and deploy large-scale generative models, with a focus on diffusion-based approaches for vision, video, and multimodal data。城市/招聘类型/排除条件未指定，按无该项限制评估；保留 max_age_days=90，全部冻结岗位满足；无候选人履历，不推断个人资格。","Helix AI Engineer, Generative AI","San Jose, CA",ai-adjudicated,true
official-01-1,AI Data Operations Manager,b9e710fd1e21f126e880ef384cb63538083b0cd62695ed14e8a82e9d7ea2de46,,0,Codex (AI review; not human),"该岗位主责为“多传感器融合定位、运动跟踪与状态估计”，与本查询“AI 数据采集运营管理”无明确职责重合；公司 AI/机器人背景或通用技能不计相关。全文依据：Architect and implement real-time localization, ego-motion tracking, and state estimation systems by fusing multi-modal sensor data (cameras, IMUs, encoders, magnetic sensors).。城市/招聘类型/排除条件未指定，按无该项限制评估；保留 max_age_days=90，全部冻结岗位满足；无候选人履历，不推断个人资格。","Helix AI Engineer, Localization and Mapping","San Jose, CA",ai-adjudicated,true
official-01-1,AI Data Operations Manager,0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc,,0,Codex (AI review; not human),"该岗位主责为“视觉、语言和动作的多模态模型架构与表征学习”，与本查询“AI 数据采集运营管理”无明确职责重合；公司 AI/机器人背景或通用技能不计相关。全文依据：Design and develop model architectures for perception, reasoning, and action across multimodal inputs (e.g., vision, language, proprioception)。城市/招聘类型/排除条件未指定，按无该项限制评估；保留 max_age_days=90，全部冻结岗位满足；无候选人履历，不推断个人资格。","Helix AI Engineer, Modeling","San Jose, CA",ai-adjudicated,true
official-01-1,AI Data Operations Manager,3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe,,0,Codex (AI review; not human),"该岗位主责为“机器人视觉、定位与视觉运动感知系统”，与本查询“AI 数据采集运营管理”无明确职责重合；公司 AI/机器人背景或通用技能不计相关。全文依据：Develop perception systems including onboard computer vision, localization, visuomotor policies, and offline data annotation.。城市/招聘类型/排除条件未指定，按无该项限制评估；保留 max_age_days=90，全部冻结岗位满足；无候选人履历，不推断个人资格。","Helix AI Engineer, Perception","San Jose, CA",ai-adjudicated,true
official-01-1,AI Data Operations Manager,ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448,,0,Codex (AI review; not human),"该岗位主责为“大规模多模态基础模型预训练”，与本查询“AI 数据采集运营管理”无明确职责重合；公司 AI/机器人背景或通用技能不计相关。全文依据：Design and train large-scale foundation models across multimodal data (e.g., text, vision, and robot data)。城市/招聘类型/排除条件未指定，按无该项限制评估；保留 max_age_days=90，全部冻结岗位满足；无候选人履历，不推断个人资格。","Helix AI Engineer, Pretraining","San Jose, CA",ai-adjudicated,true
