case_id,query,draft_relevance,lexical_top_5,dense_top_5,hybrid_top_5,hybrid-rerank_top_5,mrr_delta,ndcg_at_10_delta,reviewed_labels,reviewer,notes,draft_positive_titles,lexical_top_5_titles,dense_top_5_titles,hybrid_top_5_titles,hybrid-rerank_top_5_titles
official-13-3,"Bachelor's or Master's degree in Computer Science, Computer/Electrical Engineering, or a related field","{""66a4c6d7e0904dd601e4054abef7eee96e6301da500323e2300ed9648b004074"": 3}","[""66a4c6d7e0904dd601e4054abef7eee96e6301da500323e2300ed9648b004074"", ""0a59a8a5defd9d4d8667a85f36f511c6a9d787070af1f561d8de7060399ebb0c"", ""186cda7db8c456bcf680e72f263bd4f0e8cda1ceb47984f0502a119b6cf30d67"", ""a348c6f5c005df2d721f2c06b4c51aa3c9caafade8e604315110fc5b4ed822b5"", ""2f0e3d2ed63dc83a4e3a6796d1e94a52d14431be5936849666e4872e9a0e5a73""]","[""a348c6f5c005df2d721f2c06b4c51aa3c9caafade8e604315110fc5b4ed822b5"", ""186cda7db8c456bcf680e72f263bd4f0e8cda1ceb47984f0502a119b6cf30d67"", ""819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6"", ""b703c687faa83dff0253c44ec411d68cccda459db840e29fef3ad4f403e84f08"", ""3bf666c253c19894dbe27deb07d68ce3bd68efbe46903f1292a3806c56be640b""]","[""186cda7db8c456bcf680e72f263bd4f0e8cda1ceb47984f0502a119b6cf30d67"", ""a348c6f5c005df2d721f2c06b4c51aa3c9caafade8e604315110fc5b4ed822b5"", ""b703c687faa83dff0253c44ec411d68cccda459db840e29fef3ad4f403e84f08"", ""3bf666c253c19894dbe27deb07d68ce3bd68efbe46903f1292a3806c56be640b"", ""66a4c6d7e0904dd601e4054abef7eee96e6301da500323e2300ed9648b004074""]","[""0a59a8a5defd9d4d8667a85f36f511c6a9d787070af1f561d8de7060399ebb0c"", ""a348c6f5c005df2d721f2c06b4c51aa3c9caafade8e604315110fc5b4ed822b5"", ""3bf666c253c19894dbe27deb07d68ce3bd68efbe46903f1292a3806c56be640b"", ""186cda7db8c456bcf680e72f263bd4f0e8cda1ceb47984f0502a119b6cf30d67"", ""b703c687faa83dff0253c44ec411d68cccda459db840e29fef3ad4f403e84f08""]",-0.8571428571428572,-0.6666666666666666,,,,"Helix AI Engineer, Training Performance","Helix AI Engineer, Training Performance | Helix AI Engineer, Data Infrastructure | Connector & Interconnect Design Engineer | Software Engineer, Manufacturing Systems | Demand Planner","Software Engineer, Manufacturing Systems | Connector & Interconnect Design Engineer | State Estimation Engineer - Data Collection Systems | Manufacturing Software Test Engineer | Software Engineer, Privacy & Data Governance","Connector & Interconnect Design Engineer | Software Engineer, Manufacturing Systems | Manufacturing Software Test Engineer | Software Engineer, Privacy & Data Governance | Helix AI Engineer, Training Performance","Helix AI Engineer, Data Infrastructure | Software Engineer, Manufacturing Systems | Software Engineer, Privacy & Data Governance | Connector & Interconnect Design Engineer | Manufacturing Software Test Engineer"
official-18-3,5-10 years in Operations roles at startups and/or global corporations,"{""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"": 3}","[""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"", ""b73b922f4af1b2a2e4a3167943581b60aef9cf2340f022877c17699262b879eb"", ""75607eba04e4875b1dd4b218186a8a81de822a26baa6964e95582795cf4f282e"", ""5947300e1b20bb57f96311cc34e326bcc1ede855e9541ec6a204856612468417""]","[""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"", ""a39440f627d72dfbfc52ba5e4663f2857cfc04e4e8a0f1497e74d63990542df0"", ""b73b922f4af1b2a2e4a3167943581b60aef9cf2340f022877c17699262b879eb"", ""75607eba04e4875b1dd4b218186a8a81de822a26baa6964e95582795cf4f282e""]","[""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"", ""b73b922f4af1b2a2e4a3167943581b60aef9cf2340f022877c17699262b879eb"", ""75607eba04e4875b1dd4b218186a8a81de822a26baa6964e95582795cf4f282e"", ""5947300e1b20bb57f96311cc34e326bcc1ede855e9541ec6a204856612468417""]","[""b73b922f4af1b2a2e4a3167943581b60aef9cf2340f022877c17699262b879eb"", ""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"", ""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""75607eba04e4875b1dd4b218186a8a81de822a26baa6964e95582795cf4f282e"", ""a39440f627d72dfbfc52ba5e4663f2857cfc04e4e8a0f1497e74d63990542df0""]",-0.6666666666666667,-0.5,,,,"Lead, Data Operations Global Expansion","Lead, Data Operations Global Expansion | AI Data Operations Manager | Data Strategy Associate | Associate General Counsel, Commercial | Project Coordinator, Data Quality","Lead, Data Operations Global Expansion | AI Data Operations Manager | Deployment Logistics Lead | Data Strategy Associate | Associate General Counsel, Commercial","Lead, Data Operations Global Expansion | AI Data Operations Manager | Data Strategy Associate | Associate General Counsel, Commercial | Project Coordinator, Data Quality","Data Strategy Associate | AI Data Operations Manager | Lead, Data Operations Global Expansion | Associate General Counsel, Commercial | Deployment Logistics Lead"
official-09-1,"Helix AI Engineer, Perception","{""3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe"": 3}","[""3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448""]","[""3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974""]","[""3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448""]","[""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""3cff0238e9827ea8937e6bcbb0a6cc3e2cc5e5ea7ba7597bacb353d3de745bbe"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974"", ""0a8ae0080aed861331479e76665c99325ed73c480103a34202fab31735988354""]",-0.5,-0.36907024642854247,,,,"Helix AI Engineer, Perception","Helix AI Engineer, Perception | Helix AI Engineer, Modeling | Helix AI Engineer, Generative AI | Helix AI Engineer, Video Pretraining | Helix AI Engineer, Pretraining","Helix AI Engineer, Perception | Helix AI Engineer, Modeling | Helix AI Engineer, Pretraining | Helix AI Engineer, Generative AI | Helix AI Engineer, Video Pretraining","Helix AI Engineer, Perception | Helix AI Engineer, Modeling | Helix AI Engineer, Generative AI | Helix AI Engineer, Video Pretraining | Helix AI Engineer, Pretraining","Helix AI Engineer, Modeling | Helix AI Engineer, Perception | Helix AI Engineer, Generative AI | Helix AI Engineer, Video Pretraining | Helix AI Engineer, Robot Learning"
official-12-1,"Helix AI Engineer, Robot Learning","{""0a8ae0080aed861331479e76665c99325ed73c480103a34202fab31735988354"": 3}","[""0a8ae0080aed861331479e76665c99325ed73c480103a34202fab31735988354"", ""c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974""]","[""0a8ae0080aed861331479e76665c99325ed73c480103a34202fab31735988354"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448""]","[""0a8ae0080aed861331479e76665c99325ed73c480103a34202fab31735988354"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527"", ""ea07724278be54b49fb0ffb4f22d5faf0b148d07979bb36082323bafa66fc448"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958""]","[""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""0a8ae0080aed861331479e76665c99325ed73c480103a34202fab31735988354"", ""c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""02f16aa9d32c2123cc848e69fa4f5a6acc5eaa789f5291dd40f0f63379c39974""]",-0.5,-0.36907024642854247,,,,"Helix AI Engineer, Robot Learning","Helix AI Engineer, Robot Learning | Helix AI Engineer, Reinforcement Learning | Helix AI Engineer, Modeling | Helix AI Engineer, Pretraining | Helix AI Engineer, Video Pretraining","Helix AI Engineer, Robot Learning | Helix AI Engineer, Modeling | Helix AI Engineer, Reinforcement Learning | Helix AI Engineer, Generative AI | Helix AI Engineer, Pretraining","Helix AI Engineer, Robot Learning | Helix AI Engineer, Modeling | Helix AI Engineer, Reinforcement Learning | Helix AI Engineer, Pretraining | Helix AI Engineer, Generative AI","Helix AI Engineer, Modeling | Helix AI Engineer, Robot Learning | Helix AI Engineer, Reinforcement Learning | Helix AI Engineer, Generative AI | Helix AI Engineer, Video Pretraining"
official-15-4,Find roles focused on Helix Data Creator,"{""23731858c455419d59ce5792533ec8a179c6327cdadbcf49ea15e73c1c081bba"": 3}","[""23731858c455419d59ce5792533ec8a179c6327cdadbcf49ea15e73c1c081bba"", ""1f9f2467de3e4708c9577641bda5d53235417f44365da66ec663e0915b9106e5"", ""b77e6b3d7caede0bfbcf4d62df9841a707956651099051cf4de62dd3a2a3599e"", ""0a59a8a5defd9d4d8667a85f36f511c6a9d787070af1f561d8de7060399ebb0c"", ""66a4c6d7e0904dd601e4054abef7eee96e6301da500323e2300ed9648b004074""]","[""1f9f2467de3e4708c9577641bda5d53235417f44365da66ec663e0915b9106e5"", ""23731858c455419d59ce5792533ec8a179c6327cdadbcf49ea15e73c1c081bba"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""0a0fc1829659ebd979c603141aaea41d021b93f09dc893d3d9bbd68efaeefbdc"", ""c1c05a8ba13a2926c42f725703c98fe23d061fca1b941341c82c68fd09fc1527""]","[""23731858c455419d59ce5792533ec8a179c6327cdadbcf49ea15e73c1c081bba"", ""1f9f2467de3e4708c9577641bda5d53235417f44365da66ec663e0915b9106e5"", ""0a59a8a5defd9d4d8667a85f36f511c6a9d787070af1f561d8de7060399ebb0c"", ""b77e6b3d7caede0bfbcf4d62df9841a707956651099051cf4de62dd3a2a3599e"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958""]","[""1f9f2467de3e4708c9577641bda5d53235417f44365da66ec663e0915b9106e5"", ""23731858c455419d59ce5792533ec8a179c6327cdadbcf49ea15e73c1c081bba"", ""0a59a8a5defd9d4d8667a85f36f511c6a9d787070af1f561d8de7060399ebb0c"", ""79f5841c81f7ac714712f4d3ef1979d7e41748673024dfc15606019cd63d3958"", ""66a4c6d7e0904dd601e4054abef7eee96e6301da500323e2300ed9648b004074""]",-0.5,-0.36907024642854247,,,,Helix Data Creator,"Helix Data Creator | Helix Data Creator | Humanoid Robot Operator & Data Creator — Fontana, CA (Customer Site) | Helix AI Engineer, Data Infrastructure | Helix AI Engineer, Training Performance","Helix Data Creator | Helix Data Creator | Helix AI Engineer, Generative AI | Helix AI Engineer, Modeling | Helix AI Engineer, Reinforcement Learning","Helix Data Creator | Helix Data Creator | Helix AI Engineer, Data Infrastructure | Humanoid Robot Operator & Data Creator — Fontana, CA (Customer Site) | Helix AI Engineer, Generative AI","Helix Data Creator | Helix Data Creator | Helix AI Engineer, Data Infrastructure | Helix AI Engineer, Generative AI | Helix AI Engineer, Training Performance"
official-16-2,"Data collection: Wear sensor suits to perform repetitive, precise physical movements (walking, lifting, reaching) that guide the robot and generate training data, for up to 8 hours per shift.","{""1f9f2467de3e4708c9577641bda5d53235417f44365da66ec663e0915b9106e5"": 3}","[""1f9f2467de3e4708c9577641bda5d53235417f44365da66ec663e0915b9106e5"", ""23731858c455419d59ce5792533ec8a179c6327cdadbcf49ea15e73c1c081bba"", ""b77e6b3d7caede0bfbcf4d62df9841a707956651099051cf4de62dd3a2a3599e"", ""a39440f627d72dfbfc52ba5e4663f2857cfc04e4e8a0f1497e74d63990542df0"", ""66a4c6d7e0904dd601e4054abef7eee96e6301da500323e2300ed9648b004074""]","[""1f9f2467de3e4708c9577641bda5d53235417f44365da66ec663e0915b9106e5"", ""23731858c455419d59ce5792533ec8a179c6327cdadbcf49ea15e73c1c081bba"", ""819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6"", ""e06e31c66b7ffa4e84f45cff09e46a9f58c4828c0a53239e6022a8011e6731c7"", ""b73b922f4af1b2a2e4a3167943581b60aef9cf2340f022877c17699262b879eb""]","[""1f9f2467de3e4708c9577641bda5d53235417f44365da66ec663e0915b9106e5"", ""23731858c455419d59ce5792533ec8a179c6327cdadbcf49ea15e73c1c081bba"", ""b77e6b3d7caede0bfbcf4d62df9841a707956651099051cf4de62dd3a2a3599e"", ""a39440f627d72dfbfc52ba5e4663f2857cfc04e4e8a0f1497e74d63990542df0"", ""819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6""]","[""23731858c455419d59ce5792533ec8a179c6327cdadbcf49ea15e73c1c081bba"", ""1f9f2467de3e4708c9577641bda5d53235417f44365da66ec663e0915b9106e5"", ""b77e6b3d7caede0bfbcf4d62df9841a707956651099051cf4de62dd3a2a3599e"", ""b73b922f4af1b2a2e4a3167943581b60aef9cf2340f022877c17699262b879eb"", ""e06e31c66b7ffa4e84f45cff09e46a9f58c4828c0a53239e6022a8011e6731c7""]",-0.5,-0.36907024642854247,,,,Helix Data Creator,"Helix Data Creator | Helix Data Creator | Humanoid Robot Operator & Data Creator — Fontana, CA (Customer Site) | Deployment Logistics Lead | Helix AI Engineer, Training Performance",Helix Data Creator | Helix Data Creator | State Estimation Engineer - Data Collection Systems | Deployment Engineer (Data Collection) | Data Strategy Associate,"Helix Data Creator | Helix Data Creator | Humanoid Robot Operator & Data Creator — Fontana, CA (Customer Site) | Deployment Logistics Lead | State Estimation Engineer - Data Collection Systems","Helix Data Creator | Helix Data Creator | Humanoid Robot Operator & Data Creator — Fontana, CA (Customer Site) | Data Strategy Associate | Deployment Engineer (Data Collection)"
official-18-2,"Day one, you will own Figure’s data operations expansion: the strategy for where we go next and the team that gets us there. You’ll stand up new sites against volume, quality, and velocity targets, build the playbook that makes each launch faster than the last, and partner across engineering, product, and ops to make it happen. Specific responsibilities include:","{""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"": 3}","[""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"", ""a39440f627d72dfbfc52ba5e4663f2857cfc04e4e8a0f1497e74d63990542df0"", ""b77e6b3d7caede0bfbcf4d62df9841a707956651099051cf4de62dd3a2a3599e"", ""2f0e3d2ed63dc83a4e3a6796d1e94a52d14431be5936849666e4872e9a0e5a73""]","[""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"", ""2f0e3d2ed63dc83a4e3a6796d1e94a52d14431be5936849666e4872e9a0e5a73"", ""a39440f627d72dfbfc52ba5e4663f2857cfc04e4e8a0f1497e74d63990542df0"", ""e06e31c66b7ffa4e84f45cff09e46a9f58c4828c0a53239e6022a8011e6731c7""]","[""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"", ""a39440f627d72dfbfc52ba5e4663f2857cfc04e4e8a0f1497e74d63990542df0"", ""2f0e3d2ed63dc83a4e3a6796d1e94a52d14431be5936849666e4872e9a0e5a73"", ""b77e6b3d7caede0bfbcf4d62df9841a707956651099051cf4de62dd3a2a3599e""]","[""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"", ""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""b73b922f4af1b2a2e4a3167943581b60aef9cf2340f022877c17699262b879eb"", ""a39440f627d72dfbfc52ba5e4663f2857cfc04e4e8a0f1497e74d63990542df0"", ""2f0e3d2ed63dc83a4e3a6796d1e94a52d14431be5936849666e4872e9a0e5a73""]",-0.5,-0.36907024642854247,,,,"Lead, Data Operations Global Expansion","Lead, Data Operations Global Expansion | AI Data Operations Manager | Deployment Logistics Lead | Humanoid Robot Operator & Data Creator — Fontana, CA (Customer Site) | Demand Planner","Lead, Data Operations Global Expansion | AI Data Operations Manager | Demand Planner | Deployment Logistics Lead | Deployment Engineer (Data Collection)","Lead, Data Operations Global Expansion | AI Data Operations Manager | Deployment Logistics Lead | Demand Planner | Humanoid Robot Operator & Data Creator — Fontana, CA (Customer Site)","AI Data Operations Manager | Lead, Data Operations Global Expansion | Data Strategy Associate | Deployment Logistics Lead | Demand Planner"
official-18-5,"岗位职责匹配：Day one, you will own Figure’s data operations expansion: the strategy for where we go next and the team that gets us there. You’ll stand up new sites against volume, quality, and velocity targets, build the playbook that makes each launch faster than the last, and partner across engineering, product, and ops to make it happen. Specific responsibilities include:","{""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"": 3}","[""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"", ""a39440f627d72dfbfc52ba5e4663f2857cfc04e4e8a0f1497e74d63990542df0"", ""b77e6b3d7caede0bfbcf4d62df9841a707956651099051cf4de62dd3a2a3599e"", ""2f0e3d2ed63dc83a4e3a6796d1e94a52d14431be5936849666e4872e9a0e5a73""]","[""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"", ""2f0e3d2ed63dc83a4e3a6796d1e94a52d14431be5936849666e4872e9a0e5a73"", ""a39440f627d72dfbfc52ba5e4663f2857cfc04e4e8a0f1497e74d63990542df0"", ""e06e31c66b7ffa4e84f45cff09e46a9f58c4828c0a53239e6022a8011e6731c7""]","[""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"", ""a39440f627d72dfbfc52ba5e4663f2857cfc04e4e8a0f1497e74d63990542df0"", ""2f0e3d2ed63dc83a4e3a6796d1e94a52d14431be5936849666e4872e9a0e5a73"", ""b77e6b3d7caede0bfbcf4d62df9841a707956651099051cf4de62dd3a2a3599e""]","[""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"", ""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""b73b922f4af1b2a2e4a3167943581b60aef9cf2340f022877c17699262b879eb"", ""a39440f627d72dfbfc52ba5e4663f2857cfc04e4e8a0f1497e74d63990542df0"", ""819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6""]",-0.5,-0.36907024642854247,,,,"Lead, Data Operations Global Expansion","Lead, Data Operations Global Expansion | AI Data Operations Manager | Deployment Logistics Lead | Humanoid Robot Operator & Data Creator — Fontana, CA (Customer Site) | Demand Planner","Lead, Data Operations Global Expansion | AI Data Operations Manager | Demand Planner | Deployment Logistics Lead | Deployment Engineer (Data Collection)","Lead, Data Operations Global Expansion | AI Data Operations Manager | Deployment Logistics Lead | Demand Planner | Humanoid Robot Operator & Data Creator — Fontana, CA (Customer Site)","AI Data Operations Manager | Lead, Data Operations Global Expansion | Data Strategy Associate | Deployment Logistics Lead | State Estimation Engineer - Data Collection Systems"
official-01-1,AI Data Operations Manager,"{""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"": 3}","[""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"", ""b73b922f4af1b2a2e4a3167943581b60aef9cf2340f022877c17699262b879eb"", ""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""a39440f627d72dfbfc52ba5e4663f2857cfc04e4e8a0f1497e74d63990542df0"", ""b77e6b3d7caede0bfbcf4d62df9841a707956651099051cf4de62dd3a2a3599e""]","[""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"", ""b73b922f4af1b2a2e4a3167943581b60aef9cf2340f022877c17699262b879eb"", ""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""5947300e1b20bb57f96311cc34e326bcc1ede855e9541ec6a204856612468417"", ""0a59a8a5defd9d4d8667a85f36f511c6a9d787070af1f561d8de7060399ebb0c""]","[""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"", ""b73b922f4af1b2a2e4a3167943581b60aef9cf2340f022877c17699262b879eb"", ""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""b77e6b3d7caede0bfbcf4d62df9841a707956651099051cf4de62dd3a2a3599e"", ""5947300e1b20bb57f96311cc34e326bcc1ede855e9541ec6a204856612468417""]","[""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"", ""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""b73b922f4af1b2a2e4a3167943581b60aef9cf2340f022877c17699262b879eb"", ""a39440f627d72dfbfc52ba5e4663f2857cfc04e4e8a0f1497e74d63990542df0"", ""b77e6b3d7caede0bfbcf4d62df9841a707956651099051cf4de62dd3a2a3599e""]",0.0,0.0,,,,AI Data Operations Manager,"AI Data Operations Manager | Data Strategy Associate | Lead, Data Operations Global Expansion | Deployment Logistics Lead | Humanoid Robot Operator & Data Creator — Fontana, CA (Customer Site)","AI Data Operations Manager | Data Strategy Associate | Lead, Data Operations Global Expansion | Project Coordinator, Data Quality | Helix AI Engineer, Data Infrastructure","AI Data Operations Manager | Data Strategy Associate | Lead, Data Operations Global Expansion | Humanoid Robot Operator & Data Creator — Fontana, CA (Customer Site) | Project Coordinator, Data Quality","AI Data Operations Manager | Lead, Data Operations Global Expansion | Data Strategy Associate | Deployment Logistics Lead | Humanoid Robot Operator & Data Creator — Fontana, CA (Customer Site)"
official-01-2,"Day one, you will own a meaningful piece of Figure's data collection operation. You'll be hitting volume, quality, and velocity targets, building the systems that get us there, and partnering across engineering, product, and ops to make it happen. Specific responsibilities include:","{""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"": 3}","[""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"", ""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""a39440f627d72dfbfc52ba5e4663f2857cfc04e4e8a0f1497e74d63990542df0"", ""1f9f2467de3e4708c9577641bda5d53235417f44365da66ec663e0915b9106e5"", ""23731858c455419d59ce5792533ec8a179c6327cdadbcf49ea15e73c1c081bba""]","[""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"", ""2f0e3d2ed63dc83a4e3a6796d1e94a52d14431be5936849666e4872e9a0e5a73"", ""e06e31c66b7ffa4e84f45cff09e46a9f58c4828c0a53239e6022a8011e6731c7"", ""5947300e1b20bb57f96311cc34e326bcc1ede855e9541ec6a204856612468417""]","[""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"", ""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""2f0e3d2ed63dc83a4e3a6796d1e94a52d14431be5936849666e4872e9a0e5a73"", ""a39440f627d72dfbfc52ba5e4663f2857cfc04e4e8a0f1497e74d63990542df0"", ""1f9f2467de3e4708c9577641bda5d53235417f44365da66ec663e0915b9106e5""]","[""9658a47149b0ab24fc3f77d0f9fdaafaff266b273215443058230f74271f9549"", ""c157b426dd7167bc1359eecf26ec5fbc98b35e4202a41de9d6650964f9df3c17"", ""b73b922f4af1b2a2e4a3167943581b60aef9cf2340f022877c17699262b879eb"", ""1f9f2467de3e4708c9577641bda5d53235417f44365da66ec663e0915b9106e5"", ""819b7ab25d3641d3878a4f6e2dea005077f29528535c8a8aec9f727d904ed3c6""]",0.0,0.0,,,,AI Data Operations Manager,"AI Data Operations Manager | Lead, Data Operations Global Expansion | Deployment Logistics Lead | Helix Data Creator | Helix Data Creator","Lead, Data Operations Global Expansion | AI Data Operations Manager | Demand Planner | Deployment Engineer (Data Collection) | Project Coordinator, Data Quality","AI Data Operations Manager | Lead, Data Operations Global Expansion | Demand Planner | Deployment Logistics Lead | Helix Data Creator","AI Data Operations Manager | Lead, Data Operations Global Expansion | Data Strategy Associate | Helix Data Creator | State Estimation Engineer - Data Collection Systems"
